onset_metric,onset_window,onset_threshold,signal,first_fire_window,latency_windows,pre_onset_alert_rate,total_alert_rate
brier,2014-03,0.09705649020069242,psi,2014-03,0.0,0.0,0.8571428571428571
brier,2014-03,0.09705649020069242,ks,2014-01,2.0,1.0,1.0
brier,2014-03,0.09705649020069242,wasserstein,2014-01,2.0,1.0,1.0
brier,2014-03,0.09705649020069242,kl,2014-03,0.0,0.0,0.8571428571428571
brier,2014-03,0.09705649020069242,prediction,,,0.0,0.0
brier,2014-03,0.09705649020069242,multivariate,2014-01,2.0,1.0,1.0
calibration_gap,2014-05,-0.012022815944836243,psi,2014-03,2.0,0.5,0.8571428571428571
calibration_gap,2014-05,-0.012022815944836243,ks,2014-01,4.0,1.0,1.0
calibration_gap,2014-05,-0.012022815944836243,wasserstein,2014-01,4.0,1.0,1.0
calibration_gap,2014-05,-0.012022815944836243,kl,2014-03,2.0,0.5,0.8571428571428571
calibration_gap,2014-05,-0.012022815944836243,prediction,,,0.0,0.0
calibration_gap,2014-05,-0.012022815944836243,multivariate,2014-01,4.0,1.0,1.0
abs_calibration_gap,2014-05,0.010843826248425921,psi,2014-03,2.0,0.5,0.8571428571428571
abs_calibration_gap,2014-05,0.010843826248425921,ks,2014-01,4.0,1.0,1.0
abs_calibration_gap,2014-05,0.010843826248425921,wasserstein,2014-01,4.0,1.0,1.0
abs_calibration_gap,2014-05,0.010843826248425921,kl,2014-03,2.0,0.5,0.8571428571428571
abs_calibration_gap,2014-05,0.010843826248425921,prediction,,,0.0,0.0
abs_calibration_gap,2014-05,0.010843826248425921,multivariate,2014-01,4.0,1.0,1.0
auc,,,,,,,
