method,n_tests,false_positive_rate,median_statistic,p95_statistic,n_not_evaluable,n_per_half
ks,1120,0.0223,0.064,0.112,0,250
psi,1120,0.1455,0.0543,0.1285,0,250
wasserstein,1120,0.5045,0.1002,0.191,0,250
ks,1120,0.0286,0.032,0.055,0,1000
psi,1120,0.0,0.0138,0.0327,0,1000
wasserstein,1120,0.0384,0.051,0.0947,0,1000
ks,1120,0.0295,0.0144,0.0254,0,5000
psi,1120,0.0,0.0027,0.0066,0,5000
wasserstein,1120,0.0018,0.0238,0.0443,0,5000
ks,1120,0.0429,0.0072,0.0132,0,20000
psi,1120,0.0,0.0007,0.0016,0,20000
wasserstein,1120,0.0027,0.0122,0.0225,0,20000
