method,feature,n_tests,false_positive_rate,median_statistic,p95_statistic,n_not_evaluable
ks,revol_bal,40,0.15,0.0084,0.016,0
ks,annual_inc,40,0.1,0.0082,0.0137,0
ks,int_rate,40,0.1,0.0071,0.0139,0
ks,tot_hi_cred_lim,40,0.1,0.0083,0.0144,0
ks,total_bal_ex_mort,40,0.1,0.0085,0.0145,0
ks,total_rev_hi_lim,40,0.075,0.0088,0.0161,0
ks,tot_cur_bal,40,0.075,0.0077,0.0144,0
wasserstein,tot_coll_amt,40,0.075,0.0138,0.2341,0
ks,loan_amnt,40,0.05,0.0077,0.0118,0
ks,mo_sin_old_rev_tl_op,40,0.05,0.0073,0.0113,0
ks,installment,40,0.05,0.0086,0.0133,0
ks,avg_cur_bal,40,0.05,0.0077,0.0134,0
ks,dti,40,0.05,0.0078,0.0135,0
ks,bc_util,40,0.05,0.0074,0.012,0
ks,total_bc_limit,40,0.05,0.0082,0.0132,0
ks,num_sats,40,0.025,0.0079,0.0115,0
ks,pct_tl_nvr_dlq,40,0.025,0.0061,0.0128,0
ks,bc_open_to_buy,40,0.025,0.0078,0.0125,0
ks,percent_bc_gt_75,40,0.025,0.0069,0.0127,0
ks,open_acc,40,0.025,0.008,0.0109,0
ks,revol_util,40,0.025,0.0074,0.0127,0
ks,mort_acc,40,0.0,0.006,0.0106,0
ks,pub_rec,40,0.0,0.0026,0.0077,0
ks,delinq_2yrs,40,0.0,0.0034,0.0071,0
ks,inq_last_6mths,40,0.0,0.0043,0.0114,0
ks,acc_open_past_24mths,40,0.0,0.006,0.0107,0
ks,num_actv_bc_tl,40,0.0,0.0061,0.0106,0
ks,tot_coll_amt,40,0.0,0.004,0.0075,0
psi,acc_open_past_24mths,40,0.0,0.0007,0.0012,0
psi,annual_inc,40,0.0,0.0009,0.0016,0
psi,avg_cur_bal,40,0.0,0.0008,0.0014,0
psi,bc_open_to_buy,40,0.0,0.0009,0.0018,0
psi,bc_util,40,0.0,0.0008,0.0015,0
psi,delinq_2yrs,40,0.0,0.0,0.0003,0
psi,dti,40,0.0,0.0009,0.0016,0
ks,total_acc,40,0.0,0.0073,0.011,0
psi,installment,40,0.0,0.0009,0.0017,0
psi,int_rate,40,0.0,0.001,0.0015,0
psi,loan_amnt,40,0.0,0.0007,0.0017,0
psi,mo_sin_old_rev_tl_op,40,0.0,0.0007,0.0012,0
psi,mort_acc,40,0.0,0.0004,0.001,0
psi,num_actv_bc_tl,40,0.0,0.0006,0.001,0
psi,num_sats,40,0.0,0.001,0.0018,0
psi,open_acc,40,0.0,0.0009,0.0014,0
psi,pct_tl_nvr_dlq,40,0.0,0.0004,0.0008,0
psi,percent_bc_gt_75,40,0.0,0.0004,0.001,0
psi,pub_rec,40,0.0,0.0,0.0004,0
psi,revol_bal,40,0.0,0.0008,0.0018,0
psi,revol_util,40,0.0,0.0007,0.0013,0
psi,tot_coll_amt,40,0.0,0.0,0.0003,0
psi,tot_cur_bal,40,0.0,0.0008,0.0017,0
psi,inq_last_6mths,40,0.0,0.0001,0.0006,0
psi,tot_hi_cred_lim,40,0.0,0.0009,0.0015,0
psi,total_acc,40,0.0,0.001,0.0018,0
psi,total_bc_limit,40,0.0,0.0009,0.0016,0
psi,total_bal_ex_mort,40,0.0,0.0009,0.0018,0
wasserstein,acc_open_past_24mths,40,0.0,0.0117,0.0214,0
wasserstein,annual_inc,40,0.0,0.016,0.0233,0
wasserstein,avg_cur_bal,40,0.0,0.0129,0.0196,0
psi,total_rev_hi_lim,40,0.0,0.0011,0.002,0
wasserstein,bc_util,40,0.0,0.0096,0.019,0
wasserstein,delinq_2yrs,40,0.0,0.0107,0.019,0
wasserstein,dti,40,0.0,0.0098,0.0203,0
wasserstein,inq_last_6mths,40,0.0,0.0106,0.0199,0
wasserstein,installment,40,0.0,0.0118,0.0207,0
wasserstein,int_rate,40,0.0,0.0109,0.0239,0
wasserstein,loan_amnt,40,0.0,0.0104,0.0179,0
wasserstein,bc_open_to_buy,40,0.0,0.0115,0.0195,0
wasserstein,mo_sin_old_rev_tl_op,40,0.0,0.0114,0.0202,0
wasserstein,mort_acc,40,0.0,0.0114,0.0165,0
wasserstein,num_sats,40,0.0,0.0135,0.0204,0
wasserstein,num_actv_bc_tl,40,0.0,0.0123,0.0219,0
wasserstein,pct_tl_nvr_dlq,40,0.0,0.0095,0.019,0
wasserstein,percent_bc_gt_75,40,0.0,0.0087,0.0198,0
wasserstein,pub_rec,40,0.0,0.0121,0.0218,0
wasserstein,open_acc,40,0.0,0.0132,0.0211,0
wasserstein,revol_bal,40,0.0,0.015,0.024,0
wasserstein,revol_util,40,0.0,0.0101,0.0196,0
wasserstein,tot_cur_bal,40,0.0,0.0121,0.02,0
wasserstein,tot_hi_cred_lim,40,0.0,0.0124,0.02,0
wasserstein,total_acc,40,0.0,0.0129,0.0195,0
wasserstein,total_bal_ex_mort,40,0.0,0.0145,0.025,0
wasserstein,total_bc_limit,40,0.0,0.0133,0.0232,0
wasserstein,total_rev_hi_lim,40,0.0,0.014,0.0326,0
