quarter,n_loans,default_rate
2007Q2,24,0.08333333333333333
2007Q3,190,0.16842105263157894
2007Q4,389,0.2390745501285347
2008Q1,1013,0.1885488647581441
2008Q2,498,0.17670682730923695
2008Q3,298,0.15100671140939598
2008Q4,584,0.14383561643835616
2009Q1,895,0.1106145251396648
2009Q2,1098,0.11657559198542805
2009Q3,1364,0.10117302052785923
2009Q4,1924,0.10966735966735967
2010Q1,2172,0.08747697974217311
2010Q2,3006,0.10479041916167664
2010Q3,3568,0.09276905829596413
2010Q4,3791,0.0915325771564231
2011Q1,4126,0.08725157537566651
2011Q2,5102,0.10407683261466091
2011Q3,5876,0.10040844111640572
2011Q4,6617,0.11107752758047454
2012Q1,8076,0.11391778107974244
2012Q2,10447,0.12309753996362592
2012Q3,16133,0.11882476910679973
2012Q4,18711,0.10913366468922024
2013Q1,22706,0.10503831586364837
2013Q2,30668,0.11086474501108648
2013Q3,37571,0.10713049958744776
2013Q4,43869,0.1038774533269507
2014Q1,47410,0.10921746466990087
2014Q2,55349,0.11660553939547237
2014Q3,58726,0.12268841739604264
2014Q4,74144,0.1258092360811394
2015Q1,84277,0.13140002610439386
2015Q2,95825,0.1348082441951474
2015Q3,110489,0.13406764474291558
2015Q4,130504,0.13437902286519954
2016Q1,133887,0.13696624765660595
2016Q2,97854,0.13810370552046927
2016Q3,99120,0.1435129136400323
2016Q4,67363,0.12307943529830916
