year,n_loans,snapshot_resolved_share,snapshot_default_rate,horizon_labelled_share,horizon_default_rate,still_late_in_horizon
2007,603,1.0,0.262,1.0,0.2106,0
2008,2393,1.0,0.2073,1.0,0.1705,0
2009,5281,1.0,0.1369,1.0,0.1091,0
2010,12537,1.0,0.1401,1.0,0.0944,0
2011,21721,1.0,0.1518,1.0,0.102,0
2012,53367,1.0,0.162,1.0,0.1155,0
2013,134814,0.9998,0.156,1.0,0.1066,0
2014,235629,0.9399,0.1854,1.0,0.1195,0
2015,421095,0.8868,0.2016,1.0,0.1338,0
2016,434407,0.6324,0.2427,0.9167,0.1365,319
2017,443579,0.3582,0.229,0.0,,0
2018,495242,0.0953,0.1473,0.0,,0
